Wall time,Step,Value
1733224110.2177403,19267584,7417.149902
1733224189.1592164,19333120,7213.481934
1733224268.2429333,19398656,7254.246582
1733224347.234744,19464192,7573.850098
1733224427.1263442,19529728,7319.506836
1733224865.2700825,19546272,7312.950195
1733224982.4894903,19660800,7371.686523
1733225061.6335237,19726336,7147.20459
1733225140.969141,19791872,7221.369141
1733225219.9537656,19857408,7261.71875
1733225299.7647662,19922944,7276.380859
1733225378.9643593,19988480,7380.759277
1733225849.6449838,20046272,7117.262207
1733225935.0598931,20119552,7136.129883
1733226014.298409,20185088,7283.104492
1733226093.5400581,20250624,7362.774414
1733226172.974316,20316160,7633.589355
1733226252.1780362,20381696,7442.133301
1733226331.516137,20447232,7152.270508
1733226410.6866066,20512768,7192.106934
1733226862.1836634,20546272,7162.086914
1733226966,20643840,7133.474609
1733227045.545466,20709376,7001.234375
1733227124.6082675,20774912,7417.412109
1733227203.6471379,20840448,7313.200195
1733227282.2519584,20905984,7339.51709
1733227361.1906438,20971520,7161.104492
1733227441.203275,21037056,7335.021484
1733227873.0713427,21046272,7339.97168
1733227996.0305972,21168128,7370.434082
1733228075.269643,21233664,7326.668457
1733228154.601696,21299200,7087.228516
1733228233.5139627,21364736,7191.098145
1733228312.553012,21430272,7328.466797
1733228391.5544546,21495808,7072.04541
1733228857.0977812,21546272,7315.383789
1733228948.018367,21626880,7275.687012
1733229027.5321596,21692416,7381.527832
1733229106.604428,21757952,7158.27002
1733229186.0318968,21823488,7353.407227
1733229264.773552,21889024,7400.23584
1733229343.5143652,21954560,7075.991699
1733229422.6076057,22020096,7452.57373
1733229868.2588246,22046272,7239.94043
1733229978.0616276,22151168,7708.572754
1733230057.2547123,22216704,7354.481934
1733230136.2771502,22282240,7555.133789
1733230215.4828436,22347776,8089.264648
1733230294.6480837,22413312,7631.443359
1733230374.279109,22478848,7418.887207
1733230453.2816253,22544384,8332.097656
1733230600.014044,22546272,7412.500977
1733230729.2826807,22675456,7738.548828
1733230808.5767841,22740992,7583.490234
1733230887.6024113,22806528,7904.679199
1733230966.7631576,22872064,7458.85498
1733231045.823372,22937600,7860.475098
1733231124.9790883,23003136,7622.311523
1733231584.3910387,23046272,7309.812012
1733231680.9671972,23134208,8025.067383
1733231760.5380132,23199744,7476.640625
1733231839.8223186,23265280,7344.87207
1733231919.0791717,23330816,7128.843262
1733231998.016301,23396352,7415.709961
1733232077.1148005,23461888,7393.840332
1733232156.716169,23527424,7347.971191
1733232597.9933145,23546272,8110.121582
1733232713.6510062,23658496,7157.567383
1733232793,23724032,7087.120605
1733232872.157078,23789568,7003.661621
1733232951.653758,23855104,7118.742676
1733233030.951015,23920640,7462.262695
1733233110.5053308,23986176,7328.690918
1733233582.7924342,24046272,7322.257324
1733233665.9145303,24117248,7372.566406
1733233744.622266,24182784,7133.453613
1733233823.6462748,24248320,7333.789551
1733233903,24313856,7536.874023
1733233982.271427,24379392,8346.717773
1733234061.138533,24444928,7267.478027
1733234140.4843142,24510464,8292.011719
1733234594.697997,24546272,7075.630859
1733234697.2864692,24641536,7250.550293
1733234776.5343788,24707072,7226.904785
1733234855.942975,24772608,7299.319824
1733234934.9377303,24838144,7095.625488
1733235013.7241538,24903680,7639.310059
1733235093.0330873,24969216,7340.777832
1733235172.667942,25034752,7054.050293
1733235607.5393152,25046272,7399.216797
1733235728.7609391,25165824,7158.044434
1733235807.807931,25231360,7149.963379
1733235888.0137186,25296896,7280.529297
1733235967.1185238,25362432,7168.178711
1733236046.1648724,25427968,7094.128906
1733236125.1172075,25493504,7503.289063
1733236592.0878026,25546272,7068.331055
1733236680.9287307,25624576,7250.827148
1733236760.1184888,25690112,7648.025879
1733236839.7396567,25755648,7552.32666
1733236918.6697633,25821184,7424.741699
1733236998.0167983,25886720,7178.011719
1733237077.0803113,25952256,7326.900879
1733237156.2871125,26017792,7324.279297
1733237610.2184832,26046272,7192.981445
1733237718.8459425,26148864,7395.524414
1733237797.337332,26214400,7350.617676
1733237876.2363052,26279936,7569.675293
1733237955.7376714,26345472,7427.310547
1733238034.6934872,26411008,7401.034668
1733238113.885035,26476544,7511.381348
1733238193.0757592,26542080,7387.900879
1733238622.6293876,26546272,7590.382813
1733238749.5791807,26673152,7290.926758
1733238828.4282036,26738688,7115.528809
1733238907.4240384,26804224,7325.938965
1733238986.7028527,26869760,7205.875488
1733239065.9155195,26935296,7397.543457
1733239145.035701,27000832,7194.123047
1733239606.724098,27046272,7344.814941
1733239701.260112,27131904,7314.562988
1733239779.9578643,27197440,7315.305176
1733239858.909205,27262976,7230.634766
1733239937.2390392,27328512,7570.439941
1733240016.644833,27394048,7195.798828
1733240095.6250567,27459584,7179.812012
1733240174.1700044,27525120,7080.100098
1733240616.3627872,27546272,7308.55127
1733240730.122652,27656192,7284.438965
1733240809.0883565,27721728,7637.342773
1733240888.4869838,27787264,7069.188477
1733240968,27852800,7140.996582
1733241046.7210119,27918336,7452.120117
1733241126.1747334,27983872,7430.574707
1733241600.8274636,28046272,7329.434082
1733241682.4621437,28114944,7222.952148
1733241761.9127014,28180480,7469.446289
1733241841.1083624,28246016,7501.984375
1733241920.5608249,28311552,7557.302246
1733241999.887434,28377088,7829.350586
1733242079.3637478,28442624,7313.746582
1733242158.226323,28508160,7269.219238
1733242615.8422232,28546272,7395.722168
1733242715.9987051,28639232,7052.737305
1733242794.9643717,28704768,7366.873047
1733242874.035704,28770304,7407.483398
1733242953.4328673,28835840,7015.446777
1733243032.5962174,28901376,7075.599121
1733243111.8543317,28966912,7105.253418
1733243191.4524536,29032448,7203.125
1733243628.9171948,29046272,7398.894043
1733243748.4119346,29163520,7352.822754
1733243827.220067,29229056,7253.601074
1733243906.1581774,29294592,7186.805664
1733243985.0240495,29360128,7523.283203
1733244063.7452679,29425664,7153.457031
1733244142.577016,29491200,7387.925781
1733244611.354944,29546272,7732.453125
1733244698.9843585,29622272,7440.42627
1733244777.6192353,29687808,7186.179688
1733244856.6931508,29753344,7708.09668
1733244935.6926162,29818880,7366.827637
1733245015.0590484,29884416,8011.783203
1733245093.9492152,29949952,7955.019043
1733245172.9120996,30015488,7626.291016
1733245623.6657388,30046272,7289.922852
1733245729.7879102,30146560,7400.651855
1733245808.9899235,30212096,8561.483398
1733245888.2858663,30277632,7444.012695
1733245967.0928943,30343168,7260.078125
1733246046.4638793,30408704,7296.535645
1733246125.6780214,30474240,7688.922852
1733246204.417208,30539776,7597.210449
1733246636.2028258,30546272,7588.999512
1733246760.7333086,30670848,7131.036133
1733246839.7502213,30736384,7182.602539
1733246918.642512,30801920,7181.560547
1733246997.478052,30867456,7226.75
1733247076.5330782,30932992,7546.720703
1733247155.795095,30998528,7424.152832
1733247619.7040792,31046272,7097.944336
1733247712.0795224,31129600,7451.106934
1733247791.023052,31195136,7349.739746
1733247869.7678547,31260672,7131.933594
1733247948.264574,31326208,7509.562012
1733248026.624319,31391744,7373.342773
1733248105.2161248,31457280,7767.938477
1733248183.6966228,31522816,7888.406738
1733248629.4856799,31546272,7861.433594
1733248740.519568,31653888,7172.567871
1733248818.706604,31719424,7036.658691
1733248897.4752567,31784960,7401.528809
1733248975.7050276,31850496,7332.3125
1733249054.4366355,31916032,7871.309082
1733249133.546579,31981568,7105.382813
1733249609.4493847,32046272,7295.72168
1733249689,32112640,7029.793945
1733249767.2145023,32178176,7294.73584
1733249845.7815301,32243712,7148.217773
1733249924.089952,32309248,7849.57373
1733250002.3551857,32374784,7287.362793
1733250080.1358345,32440320,7498.955078
1733250158.9646165,32505856,7575.721191
1733250620,32546272,7282.03125
1733250717.2475808,32636928,7522.688477
1733250795.723718,32702464,7305.56543
1733250874.237438,32768000,7207.568848
1733250952.6035752,32833536,7170.09082
1733251032,32899072,7244.291504
1733251110.0292935,32964608,7454.354004
1733251188.7028608,33030144,7332.716797
1733251626.391925,33046272,7231.195801
1733251742.9499714,33161216,7063.652344
1733251821.2546682,33226752,7130.364258
1733251899.640679,33292288,7236.866699
1733251978.5012379,33357824,7295.041992
1733252057.2518127,33423360,7194.838867
1733252136.3519907,33488896,7175.211426
1733252605.590494,33546272,7860.101563
1733252691.1765354,33619968,7197.399902
1733252770.192152,33685504,7648.472168
1733252848.9550261,33751040,7344.069336
1733252927.7531264,33816576,7352.888672
1733253006.607167,33882112,7502.01416
1733253085.1240633,33947648,7405.287109
1733253163.924632,34013184,7127.626953
1733253613.9726205,34046272,7753.638672
1733253717.299787,34144256,7303.87207
1733253795.727777,34209792,7412.94043
1733253874.2457087,34275328,7241.197266
1733253953.1225896,34340864,7489.391602
1733254031.6560204,34406400,7285.696777
1733254110.088718,34471936,7581.867188
1733254189.0818443,34537472,7069.184082
1733254619.4774761,34546272,7445.663574
1733254740.9260824,34668544,7162.307129
1733254819.1310418,34734080,7251.160645
1733254897.480704,34799616,7153.902344
1733254976.103747,34865152,7245.311523
1733255054.459281,34930688,7376.627441
1733255132.5469112,34996224,7365.838379
1733255596.0854185,35046272,7144.336914
